S&P 500,T-Bills (3 Month),10 Yr Bonds,Cash
0.06201,0.03647,0.064866667,-0.022055556
0.0495,0.0351,0.05694,-0.01699
0.05723,0.03259,0.06212,-0.01861
0.06593,0.02023,0.06293,-0.01919
0.08335,-0.0015,0.0559,-0.01208
0.09083,-0.02211,0.03758,0.00717
0.06345,-0.02481,0.01015,0.02647
0.08247,-0.02547,0.00861,0.02867
0.07282,-0.02456,0.00253,0.02945
0.02028,-0.03833,0.00261,0.02871
0.05407,-0.04339,-0.01361,0.04539
0.02372,-0.0482,-0.01944,0.05137
0.04563,-0.04499,-0.02764,0.05714
0.08042,-0.04878,-0.02517,0.05507
0.11775,-0.0441,-0.03501,0.06029
0.12572,-0.03517,-0.03008,0.05636
0.10231,-0.03154,-0.0224,0.04808
0.13966,-0.02797,-0.01857,0.04587
0.13892,-0.0248,-0.01478,0.04283
0.16573,-0.01012,-0.018,0.04095
0.15609,-0.00223,-0.01039,0.02581
0.19469,-0.00033,0.00067,0.01987
0.18403,-0.00196,-0.00211,0.01864
0.15954,0.00399,-0.01329,0.02244
0.16865,0.00989,0.00204,0.01787
0.14137,0.01035,0.00936,0.01254
0.16394,0.01071,0.01216,0.01312
0.12553,0.01157,0.00883,0.01401
0.10371,0.01222,0.0075,0.01572
0.0864,0.01392,0.00802,0.01727
0.11953,0.01482,0.01258,0.01774
0.08412,0.0154,0.00431,0.01788
0.06037,0.01421,0.00672,0.02084
0.05948,0.0135,0.00046,0.02531
0.0443,0.01286,0.00091,0.02952
0.06915,0.01207,0.00584,0.03212
0.02735,0.00904,0.00097,0.0342
-0.02199,0.00249,-0.00371,0.04127
-0.00416,-0.00058,-0.01565,0.05264
0.02691,-0.00182,-0.01759,0.05766
-0.00606,-0.00439,-0.00646,0.05906
-0.01418,-0.00667,-0.00705,0.06272
0.00403,-0.00997,-0.01466,0.06702
0.02301,-0.01175,-0.01524,0.07411
-0.00011,-0.00809,-0.03961,0.08106
0.00103,-0.0022,-0.04658,0.08671
0.04007,0.00399,-0.01809,0.08713
0.07622,0.01337,-0.01402,0.08221
0.07454,0.01799,0.0046,0.07382
0.07366,0.0227,0.02883,0.07068
0.0878,0.02534,0.04116,0.06692
0.1017,0.02918,0.03723,0.06465
0.12273,0.03535,0.04986,0.06005
0.09701,0.03766,0.07347,0.05141
0.13588,0.03521,0.08737,0.045
0.12436,0.02921,0.09962,0.03914
0.11352,0.0248,0.07798,0.03821
0.1101,0.02096,0.08971,0.03717
0.11747,0.0203,0.06987,0.03589
0.119,0.01711,0.06918,0.03463
0.14856,0.01912,0.04442,0.03685
0.16326,0.02008,0.06152,0.03412
0.15534,0.01867,0.07098,0.03131
0.15197,0.01971,0.04786,0.02934
0.11241,0.01929,0.06057,0.02662
0.08417,0.01802,0.05294,0.02511
0.10313,0.01692,0.0591,0.02459
0.11169,0.01356,0.04646,0.02372
0.07926,0.01042,0.05809,0.02431
0.07327,0.01093,0.03714,0.02519
0.04374,0.0079,0.0384,0.02441
-0.01917,0.00607,0.03619,0.02679
-0.01429,0.00167,0.04308,0.02527
0.01085,-0.00202,0.04026,0.02531
0.02321,-0.00667,0.03429,0.02342
0.0609,-0.00755,0.04303,0.02483
0.0651,-0.00811,0.0318,0.02419
0.07052,-0.00701,0.02283,0.02381
0.06979,-0.00742,0.03154,0.02131
0.06654,-0.01128,0.03262,0.01862
0.08428,-0.0127,0.03183,0.01815
0.11487,-0.01395,0.02662,0.01618
0.12055,-0.01167,0.00474,0.018
0.12386,-0.01132,0.0254,0.01757
0.14472,-0.01502,0.02838,0.01743
0.1078,-0.01755,0.00498,0.02151
0.09958,-0.01447,-0.01904,0.02622
0.10845,-0.01159,-0.00808,0.02807