S&P 500,T-Bills (3(Month),10 Year Treasury Bonds,Baa Corporate Bonds,Inflation
-0.0392,0.088,0.06185,0.0181,-0.04075
-0.03248,0.07982,0.09198,0.08996,-0.05314
-0.02014,0.07226,0.09012,0.10532,-0.0493
0.10486,0.0434,0.09562,0.13456,-0.04742
0.24112,0.01524,0.07514,0.13978,-0.02864
0.16322,-0.01506,0.06728,0.1734,-0.0071
0.13148,-0.00962,0.0219,0.08378,0.01916
0.1346,-0.00708,0.03412,0.08428,0.01208
0.027,-0.00294,0.03024,0.06616,0.00904
-0.07442,-0.01824,0.03666,0.06188,0.00448
0.01844,-0.02916,0.00788,0.03334,0.02144
-0.00458,-0.04,-0.0016,0.04042,0.03378
0.03034,-0.04386,-0.0169,0.02558,0.04526
0.08548866,-0.04618,0.018659375,0.039035417,0.031144792
0.11498,-0.05842,-0.03144,0.0111,0.05294
0.0897,-0.05762,-0.0351,-0.0064,0.06934
0.05202,-0.0564,-0.03728,-0.0151,0.06896
0.06092,-0.04612,-0.03838,-0.02412,0.06902
0.0422,-0.05138,-0.02516,-0.01724,0.06028
0.12052,-0.02978,-0.03858,-0.02934,0.06764
0.16174,-0.01272,-0.02506,-0.01456,0.04338
0.1526,-0.00668,-0.00752,0.00852,0.0272
0.2184,-0.00982,0.00124,0.00938,0.02272
0.23564,0.00178,-0.0044,0.00806,0.02538
0.21094,0.00954,0.00258,0.01458,0.01426
0.15044,0.00826,0.00428,0.0159,0.00824
0.23678,0.00602,0.00886,0.00154,0.01254
0.14966,0.0059,-0.00546,0.009,0.01456
0.08344,0.0062,-0.02218,-0.0052,0.0195
0.12636,0.01024,0.0015,0.00194,0.02148
0.1323,0.01244,0.01444,0.0211,0.01684
0.0911,0.0154,0.01546,0.03832,0.0137
0.1014,0.01724,0.02312,0.03666,0.01346
0.12398,0.01824,0.03718,0.04526,0.01194
0.04644,0.0176,0.01454,0.03728,0.01306
0.10676,0.0172,0.01072,0.01514,0.01864
0.07714,0.0154,-0.00684,0.0008,0.02206
0.01934,0.01118,-0.00968,-0.00648,0.02822
-0.00502,0.00876,-0.03626,-0.03026,0.03868
0.04216,0.00812,-0.01272,-0.03258,0.04598
0.03154,0.00694,0.00096,0.00156,0.0456
-0.02244,0.00268,0.00878,0.0212,0.04634
-0.06332,-0.0062,0.00226,0.01288,0.05432
-0.0033,-0.00992,0.00496,-0.0014,0.0666
0.01166,-0.01176,-0.02246,0.00614,0.06934
-0.04366,-0.01572,-0.01388,0.01374,0.07252
-0.00592,-0.01602,-0.02288,0.00436,0.0791
0.07138,-0.01374,-0.03158,0.00166,0.07972
0.04932,-0.01358,-0.03544,0.0044,0.08162
-0.01188,-0.00442,-0.05676,-0.03144,0.09278
0.04572,0.01132,-0.07928,-0.06068,0.1009
0.08606,0.024,-0.0133,-0.0182,0.09516
0.08106,0.04048,0.00354,0.01648,0.0847
0.09976,0.04956,0.04464,0.06596,0.06602
0.1592,0.04982,0.11442,0.13276,0.04858
0.12988,0.03936,0.1616,0.17368,0.03294
0.11734,0.03436,0.08776,0.122,0.03414
0.1644,0.03022,0.09618,0.11718,0.0354
0.09426,0.02576,0.1023,0.11632,0.0368
0.11256,0.0206,0.06032,0.07798,0.04142
0.11884,0.01906,0.03764,0.06868,0.04534
0.1097,0.01524,0.0682,0.08812,0.04228
0.0558,0.0117,0.08324,0.0938,0.03894
0.14068,0.01484,0.03744,0.0651,0.03498
0.12544,0.01362,0.07804,0.10134,0.02784
0.17828,0.01918,0.0512,0.07074,0.02836
0.21682,0.02492,0.05484,0.07614,0.02596
0.25488,0.02564,0.05872,0.06322,0.02368
0.16326,0.02458,0.05828,0.06686,0.0237
0.09938,0.02496,0.0431,0.0419,0.0254
-0.00994,0.01686,0.05468,0.05548,0.02186
-0.01056,0.00892,0.06336,0.05282,0.02322
-0.0315,0.00148,0.0342,0.06146,0.02376
-0.00474,-0.00374,0.0579,0.07866,0.02492
0.04716,-0.0031,0.03118,0.0707,0.02498
0.09742,-0.00106,0.02212,0.06212,0.02696
-0.02778,0.00322,0.00902,0.0445,0.03036
0.00292,0.00186,0.05196,0.01676,0.02678
0.02644,-0.0003,0.02262,0.03708,0.0257
-0.00074,-0.01024,0.0374,0.04904,0.02186
0.02438,-0.01404,0.06394,0.06192,0.0227
0.15798,-0.01944,0.05458,0.07538,0.01802
0.13812,-0.01588,-0.0063,0.07774,0.02084
0.11314,-0.01454,0.04046,0.06358,0.01692
0.13382,-0.01232,0.02784,0.04356,0.01538
0.14418,-0.01136,-0.00028,0.04402,0.0136
0.07176,-0.00846,-0.00134,0.04306,0.01434
0.10298,-0.00746,0.01578,0.0378,0.01516
0.13458,-0.0081,0.01034,0.04324,0.01822
0.15562,-0.01772,0.02892,0.0659,0.01948
0.07142,-0.02374,0.01024,0.03598,0.02942
0.1274,-0.02048,-0.03674,-0.01856,0.0381
0.11392,-0.01572,-0.03194,0.00202,0.04098